clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion,pobreza,pobreza_pob,pobreza_e,pobreza_e_pob,pobreza_m,pobreza_m_pob,vul_car,vul_car_pob,vul_ing,vul_ing_pob,npnv,npnv_pob,ic_rezedu,ic_rezedu_pob,ic_asalud,ic_asalud_pob,ic_segsoc,ic_segsoc_pob,ic_cv,ic_cv_pob,ic_sbv,ic_sbv_pob,ic_ali,ic_ali_pob,carencias,carencias_pob,carencias3,carencias3_pob,plb,plb_pob,plbm,plbm_pob
1,Aguascalientes,1001,Aguascalientes,861446.00,26.10,224949.00,1.60,13650.00,24.50,211299.00,26.40,227805.00,11.50,98641.00,36.00,310052.00,11.70,100530.00,15.10,129728.00,36.40,313557.00,3.70,32153.00,3.00,25494.00,18.00,154658.00,52.60,452753.00,7.30,63220.00,37.60,323590.00,10.00,86166.00
1,Aguascalientes,1002,Asientos,46624.00,54.00,25169.00,4.40,2067.00,49.50,23101.00,29.00,13544.00,7.70,3577.00,9.30,4335.00,19.80,9244.00,6.00,2788.00,69.00,32175.00,7.80,3633.00,16.20,7553.00,24.70,11494.00,83.00,38713.00,14.10,6594.00,61.70,28745.00,24.40,11394.00
1,Aguascalientes,1003,Calvillo,52773.00,56.80,29951.00,3.10,1650.00,53.60,28301.00,27.60,14561.00,6.30,3348.00,9.30,4913.00,23.20,12254.00,9.90,5212.00,73.60,38857.00,5.20,2746.00,7.70,4082.00,17.30,9148.00,84.30,44513.00,10.50,5528.00,63.10,33299.00,26.80,14118.00
1,Aguascalientes,1004,Cosío,15321.00,43.20,6620.00,2.80,432.00,40.40,6187.00,32.70,5004.00,8.00,1232.00,16.10,2466.00,14.70,2251.00,5.50,846.00,62.70,9608.00,7.90,1215.00,7.60,1167.00,20.70,3175.00,75.90,11623.00,9.90,1522.00,51.20,7852.00,16.60,2546.00
1,Aguascalientes,1005,Jesús María,125750.00,25.00,31479.00,1.70,2095.00,23.40,29385.00,38.00,47831.00,6.60,8314.00,30.30,38126.00,17.30,21712.00,15.20,19076.00,45.00,56595.00,8.20,10303.00,6.30,7977.00,18.70,23562.00,63.10,79310.00,11.30,14225.00,31.60,39794.00,7.90,9984.00
1,Aguascalientes,1006,Pabellón de Arteaga,45733.00,34.90,15972.00,2.20,1005.00,32.70,14966.00,30.20,13802.00,10.50,4823.00,24.40,11137.00,15.30,7008.00,10.50,4821.00,49.80,22778.00,5.80,2651.00,5.80,2669.00,19.40,8852.00,65.10,29773.00,9.20,4186.00,45.50,20794.00,13.80,6305.00
1,Aguascalientes,1007,Rincón de Romos,50895.00,50.10,25483.00,3.30,1660.00,46.80,23824.00,23.20,11833.00,9.90,5014.00,16.80,8565.00,14.60,7427.00,10.30,5265.00,60.80,30964.00,7.80,3979.00,7.70,3895.00,22.70,11533.00,73.30,37316.00,10.60,5373.00,59.90,30498.00,22.90,11671.00
1,Aguascalientes,1008,San José de Gracia,8768.00,59.60,5228.00,5.30,464.00,54.30,4764.00,22.20,1945.00,4.40,388.00,13.80,1206.00,15.30,1340.00,5.20,459.00,74.70,6551.00,6.80,594.00,8.60,752.00,20.90,1832.00,81.80,7173.00,10.10,882.00,64.10,5616.00,28.20,2475.00
1,Aguascalientes,1009,Tepezalá,20484.00,50.70,10378.00,3.10,643.00,47.50,9735.00,31.20,6393.00,7.10,1447.00,11.10,2266.00,20.80,4258.00,8.30,1690.00,68.20,13965.00,6.10,1257.00,10.50,2142.00,21.40,4391.00,81.90,16771.00,11.20,2299.00,57.70,11825.00,21.00,4305.00
1,Aguascalientes,1010,El Llano,19955.00,55.10,10988.00,5.30,1064.00,49.70,9924.00,26.00,5181.00,8.20,1627.00,10.80,2158.00,19.70,3922.00,9.10,1819.00,63.80,12724.00,8.20,1631.00,17.10,3416.00,24.80,4939.00,81.00,16170.00,14.40,2883.00,63.20,12615.00,26.30,5249.00
